,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
901,4505  HARDING  PIKE,NASHVILLE,$330.0k,36.1216091,-86.8481697,,,,,,20,10,9,20,20
902,4505  HARDING  PIKE,NASHVILLE,$312.0k,36.1216091,-86.8481697,,,,,,20,10,9,20,20
903,1002  PARIS  AVE,NASHVILLE,$725.0k,36.1215796,-86.7869946,,,,,,20,18,12,20,20
904,902 A  KNOX  AVE,NASHVILLE,$850.0k,36.1213985,-86.784188,,,,,,20,18,12,20,20
905,902 B  KNOX  AVE,NASHVILLE,$850.0k,36.1213985,-86.784188,,,,,,20,18,12,20,20
906,1721  WOODLAND POINTE  DR,NASHVILLE,$400.0k,36.1211566,-86.6253431,,,,,,20,6,0,5,20
907,143   WOODMONT  BLVD,NASHVILLE,$981.4k,36.120982,-86.844508,,,,,,20,11,9,20,20
908,817 B KNOX  AVE,NASHVILLE,$760.0k,36.1209715,-86.7835971,,,,,,20,19,12,20,20
909,716 B  ESTES  RD,NASHVILLE,$1595.0k,36.120933,-86.8353487,,,,,,20,15,10,20,20
910,2946  PRIMROSE  CIR,NASHVILLE,$505.0k,36.1205646,-86.8022024,,,,,,20,17,13,20,20
911,226  WESTCHASE  DR,NASHVILLE,$378.0k,36.119787,-86.84546,,,,,,20,10,9,20,20
912,3000  HILLSBORO  PIKE,NASHVILLE,$246.0k,36.1197355,-86.8037131,,,,,,20,16,12,20,20
913,1205  CEDAR  LN,NASHVILLE,$1440.0k,36.1196616,-86.7914017,,,,,,20,17,12,20,20
914,2321  TRAEMOOR VILLAGE  PL,NASHVILLE,$379.0k,36.1195189,-86.923525,,,,,,16,3,1,5,9
915,2156  GOLF CLUB  LN,NASHVILLE,$1320.0k,36.119111,-86.8121828,,,,,,20,15,10,20,20
916,7532  OAKHAVEN  TRCE,NASHVILLE,$564.9k,36.1190059,-86.9278033,,,,,,20,4,1,6,11
917,704  CURREY  RD,NASHVILLE,$287.0k,36.1188958,-86.7166307,,,,,,20,8,4,20,20
918,1208  CLAYTON  AVE,NASHVILLE,$712.3k,36.1183361,-86.7925681,,,,,,20,17,11,20,20
919,115  GALE PARK  LN,NASHVILLE,$449.9k,36.1179273,-86.7764935,,,,,,20,16,11,20,20
920,1740  HALEYS HOPE  CT,NASHVILLE,$475.0k,36.1177966,-86.9302689,,,,,,20,5,1,6,11
921,1008  CLEARVIEW  DR,NASHVILLE,$1928.0k,36.1175361,-86.8384073,,,,,,20,12,10,20,20
922,841 B  GALE  LN,NASHVILLE,$915.0k,36.1174363,-86.7788713,,,,,,20,17,11,20,20
923,924  WILSON  BLVD,NASHVILLE,$855.0k,36.1172602,-86.8343684,,,,,,20,13,10,20,20
924,1000  GALE  LN,NASHVILLE,$855.0k,36.1172451,-86.787446,,,,,,20,17,12,20,20
925,64  LUTIE  ST,NASHVILLE,$360.0k,36.1171793,-86.7377673,,,,,,20,12,9,20,20
926,945   GALE  LN,NASHVILLE,$420.0k,36.1165273,-86.7863652,,,,,,20,17,13,20,20
927,5205  CLOSE  CIR,NASHVILLE,$1780.0k,36.1157988,-86.8635543,,,,,,20,9,5,20,20
928,2107  HAMPTON  AVE,NASHVILLE,$1350.0k,36.1157902,-86.8124429,,,,,,20,15,10,20,20
929,6012  BRESSLYN  RD,NASHVILLE,$1899.0k,36.1157623,-86.8784444,,,,,,20,8,3,20,19
930,3721  WOODMONT  BLVD,NASHVILLE,$3350.0k,36.115705,-86.835462,,,,,,20,13,10,20,20
931,1001  WELLMOOR  CT,NASHVILLE,$472.3k,36.1156795,-86.9312239,,,,,,20,5,2,6,12
932,511  MCDONALD  DR,NASHVILLE,$453.0k,36.1156279,-86.7073068,,,,,,20,7,4,17,20
933,124  BONAVENTURE  PL,NASHVILLE,$4300.0k,36.1155918,-86.8559663,,,,,,20,10,7,20,20
934,3479  GOLF CLUB  LN,NASHVILLE,$375.0k,36.1155479,-86.8092209,,,,,,20,15,9,20,20
935,6008  JOCELYN HOLLOW  RD,NASHVILLE,$3500.0k,36.1153285,-86.8715485,,,,,,20,8,4,20,20
936,710  W MEADE  DR,NASHVILLE,$750.0k,36.1146824,-86.8850454,,,,,,20,8,3,20,14
937,929  BATTLEFIELD  DR,NASHVILLE,$790.5k,36.1146217,-86.7836973,,,,,,20,15,11,20,20
938,711  DRUMMOND  DR,NASHVILLE,$225.0k,36.1138698,-86.7174493,,,,,,20,8,4,20,20
939,7470  CHARLOTTE  PIKE,NASHVILLE,$285.0k,36.1135816,-86.9288013,,,,,,20,5,2,6,12
940,6437  BROWNLEE  DR,NASHVILLE,$704.4k,36.1131181,-86.8950727,,,,,,20,7,1,20,11
941,3708  WOODMONT  LN,NASHVILLE,$650.0k,36.1129434,-86.8379063,,,,,,20,9,9,20,20
942,722  DOVER  RD,NASHVILLE,$274.9k,36.1124596,-86.7170562,,,,,,20,9,4,20,20
943,1402  WOODMONT  BLVD,NASHVILLE,$1165.0k,36.1119605,-86.7928232,,,,,,20,16,10,20,20
944,3407  WOODHAVEN  RD,NASHVILLE,$805.0k,36.1119005,-86.7771021,,,,,,20,14,12,20,20
945,2710  MASHBURN  RD,NASHVILLE,$295.0k,36.1117309,-86.7307729,,,,,,20,11,6,20,20
946,3723  WOODMONT  LN,NASHVILLE,$1005.0k,36.1114542,-86.8393879,,,,,,20,9,8,20,20
947,217  BURLINGTON  PL,NASHVILLE,$1000.0k,36.1114243,-86.8325841,,,,,,20,9,9,20,20
948,1416  WINTHORNE  DR,NASHVILLE,$335.0k,36.1113043,-86.7042794,,,,,,20,9,4,17,20
949,514  LONGVIEW  DR,PEGRAM,$234.0k,36.1109022,-87.0101188,,,,,,3,1,2,0,0
950,6357  TORRINGTON  RD,NASHVILLE,$1150.0k,36.1106542,-86.894916,,,,,,20,8,1,20,11
951,2097  GRAYBAR  LN,NASHVILLE,$309.0k,36.110651,-86.8097555,,,,,,20,13,7,20,20
952,212   STONECREST  CIR,NASHVILLE,$424.9k,36.1106107,-86.9175242,,,,,,20,6,2,9,15
953,100   THOMPSON  LN,NASHVILLE,$289.9k,36.110601,-86.7352329,,,,,,20,12,6,20,20
954,509  TORRINGTON  CT,NASHVILLE,$910.0k,36.1102278,-86.8915477,,,,,,20,8,1,20,11
955,6240  BRESSLYN  RD,NASHVILLE,$612.5k,36.1084836,-86.8864935,,,,,,20,7,1,20,11
956,3606 A WILBUR  PL,NASHVILLE,$1100.0k,36.108144,-86.7836652,,,,,,20,13,8,20,20
957,407  W MEADE  DR,NASHVILLE,$950.0k,36.1081433,-86.8814806,,,,,,20,6,3,20,11
958,1108 B  GRANDVIEW  DR,NASHVILLE,$1499.0k,36.1078929,-86.792206,,,,,,20,12,10,20,20
959,262  TIMMONS  ST,NASHVILLE,$359.0k,36.1077365,-86.7398497,,,,,,20,12,6,20,20
960,3613  WILBUR  PL,NASHVILLE,$750.0k,36.1074919,-86.7843058,,,,,,20,11,8,20,20
961,114  NEESE  DR,NASHVILLE,$320.0k,36.1073621,-86.7221857,,,,,,20,10,6,20,20
962,4002  VAILWOOD  DR,NASHVILLE,$1700.0k,36.1064404,-86.8301527,,,,,,20,6,6,20,20
963,2309  ABBOTT MARTIN  RD,NASHVILLE,$595.0k,36.1063421,-86.8225496,,,,,,20,12,6,20,20
964,2309  ABBOTT MARTIN  RD,NASHVILLE,$740.0k,36.1063421,-86.8225496,,,,,,20,12,6,20,20
965,4015  DORCAS  DR,NASHVILLE,$2525.0k,36.1061521,-86.8417597,,,,,,20,6,6,20,20
966,1900  RICHARD JONES  RD,NASHVILLE,$355.0k,36.1059272,-86.806754,,,,,,20,11,7,20,20
967,1900  RICHARD JONES  RD,NASHVILLE,$250.0k,36.1059272,-86.806754,,,,,,20,11,7,20,20
968,1900  RICHARD JONES  RD,NASHVILLE,$340.0k,36.1059272,-86.806754,,,,,,20,11,7,20,20
969,1900  RICHARD JONES  RD,NASHVILLE,$250.0k,36.1059272,-86.806754,,,,,,20,11,7,20,20
970,4001  ANDERSON  RD,NASHVILLE,$214.0k,36.105834,-86.5994412,,,,,,13,2,1,0,11
971,3917  CROSS CREEK  RD,NASHVILLE,$1150.0k,36.1054078,-86.8223675,,,,,,20,12,6,20,20
972,948 B CALDWELL  LN,NASHVILLE,$1149.0k,36.1053503,-86.7861214,,,,,,20,11,8,20,20
973,2237  ARBOR POINTE  WAY,HERMITAGE,$585.0k,36.1042698,-86.559177,,,,,,6,2,0,0,2
974,4014  GENERAL BATE  DR,NASHVILLE,$2164.0k,36.1030606,-86.7851301,,,,,,20,10,8,20,20
975,2012  BAKERS GROVE  LN,HERMITAGE,$340.0k,36.1029341,-86.5517825,,,,,,2,1,0,0,0
976,2116  HOBBS  RD,NASHVILLE,$150.0k,36.1025483,-86.8208966,,,,,,20,10,6,20,20
977,116  LAFAYETTE  CT,NASHVILLE,$575.0k,36.1022504,-86.8636523,,,,,,20,5,4,20,20
978,1818 A  SHACKLEFORD  RD,NASHVILLE,$965.0k,36.1022229,-86.8078134,,,,,,20,12,6,20,20
979,408  CEDAR FOREST  DR,NASHVILLE,$428.0k,36.1021891,-86.9303081,,,,,,20,5,4,6,11
