PID,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1320,20,5,15,20,20,20,10,6,6,16
1321,20,5,15,20,20,20,10,6,6,16
1322,20,5,15,20,20,20,10,6,6,16
1323,20,5,15,20,20,20,10,6,6,16
1324,20,3,9,20,20,20,7,4,1,6
1325,20,11,13,20,20,20,11,2,17,20
1326,20,3,6,20,20,20,7,4,1,5
1327,20,4,15,20,20,20,8,5,6,15
1328,20,8,14,20,20,20,7,4,20,20
1329,20,8,14,20,20,20,7,4,20,20
1330,20,4,5,20,20,17,5,1,7,10
1331,20,10,13,20,20,20,10,2,17,20
1332,20,11,20,20,20,20,11,2,13,20
1333,20,13,15,20,20,20,12,2,16,20
1334,20,3,3,18,20,14,3,1,6,9
1335,20,7,11,20,20,20,5,4,18,17
1336,20,7,11,20,20,20,4,4,18,17
1337,20,15,20,20,20,20,12,2,19,20
1338,20,5,16,20,20,20,9,5,6,14
1339,20,7,14,20,20,20,7,4,20,20
1340,20,5,16,20,20,20,9,5,6,14
1341,20,11,17,20,20,20,9,1,12,18
1342,20,9,12,20,20,20,9,2,15,20
1343,20,11,17,20,20,20,8,1,12,19
1344,20,11,17,20,20,20,9,1,12,20
1345,20,5,16,20,20,20,9,6,6,13
1346,20,3,9,20,20,20,11,4,1,7
1347,20,14,18,20,20,20,12,2,14,20
1348,20,5,16,20,20,20,9,5,6,13
1349,20,5,16,20,20,20,9,5,6,13
1350,20,5,16,20,20,20,9,5,6,13
1351,20,11,18,20,20,20,11,1,11,18
1352,20,3,7,20,20,20,9,4,1,6
1353,20,14,18,20,20,20,11,2,14,20
1354,20,7,11,20,20,20,4,3,18,16
1355,20,10,18,20,20,20,8,1,11,18
1356,20,5,16,20,20,20,9,6,6,12
1357,20,3,7,20,20,20,9,5,2,6
1358,20,1,1,14,17,3,2,0,2,3
1359,20,5,16,20,20,20,10,5,6,14
1360,20,5,16,20,20,20,10,5,6,14
1361,20,5,16,20,20,20,10,5,6,13
1362,20,9,13,20,20,20,9,1,10,20
1363,20,9,14,20,20,20,9,2,11,18
1364,20,9,14,20,20,20,8,2,17,20
1365,20,11,18,20,20,20,8,1,11,18
1366,20,7,14,20,20,20,6,3,18,20
1367,20,9,14,20,20,20,7,2,16,20
1368,20,3,9,20,20,20,9,5,3,7
1369,20,13,19,20,20,20,11,2,12,20
1370,20,13,20,20,20,20,11,2,12,20
